district,voter_21,Rvoter_21,Dvoter_21,d_type,voter_22,Rvoter_22,Dvoter_22,oth21,oth22,v_up_down,d_up_down,r_up_down,oth_up_down,dvr21,dvr22,part_control21,part_control22,party_switch
STH035,39405.0,8620.0,25923.0,State House,44100.0,9842.0,28707.0,4862.0,5551.0,-4695.0,-2784.0,-1222.0,-689.0,17303.0,18865.0,Dem,Dem,False
STH036,43745.0,9914.0,27070.0,State House,42905.0,8854.0,27089.0,6761.0,6962.0,840.0,-19.0,1060.0,-201.0,17156.0,18235.0,Dem,Dem,False
STH037,41704.0,25621.0,9915.0,State House,44918.0,26538.0,11512.0,6168.0,6868.0,-3214.0,-1597.0,-917.0,-700.0,-15706.0,-15026.0,GOP,GOP,False
STH038,45890.0,14566.0,25423.0,State House,44347.0,12997.0,25583.0,5901.0,5767.0,1543.0,-160.0,1569.0,134.0,10857.0,12586.0,Dem,Dem,False
STH039,44044.0,19444.0,19307.0,State House,46814.0,19901.0,21168.0,5293.0,5745.0,-2770.0,-1861.0,-457.0,-452.0,-137.0,1267.0,GOP,Dem,True
STH040,51598.0,24574.0,19921.0,State House,50662.0,24136.0,19659.0,7103.0,6867.0,936.0,262.0,438.0,236.0,-4653.0,-4477.0,GOP,GOP,False
STH041,48073.0,23112.0,17076.0,State House,42925.0,19754.0,15744.0,7885.0,7427.0,5148.0,1332.0,3358.0,458.0,-6036.0,-4010.0,GOP,GOP,False
STH042,46063.0,13395.0,25658.0,State House,49639.0,15822.0,26100.0,7010.0,7717.0,-3576.0,-442.0,-2427.0,-707.0,12263.0,10278.0,Dem,Dem,False
STH043,41716.0,22023.0,12809.0,State House,35914.0,21496.0,8616.0,6884.0,5802.0,5802.0,4193.0,527.0,1082.0,-9214.0,-12880.0,GOP,GOP,False
STH044,50353.0,21129.0,21374.0,State House,47273.0,19754.0,20033.0,7850.0,7486.0,3080.0,1341.0,1375.0,364.0,245.0,279.0,Dem,Dem,False
STH045,46849.0,14492.0,26060.0,State House,47005.0,14410.0,26107.0,6297.0,6488.0,-156.0,-47.0,82.0,-191.0,11568.0,11697.0,Dem,Dem,False
STH046,49939.0,21345.0,21805.0,State House,46806.0,20664.0,19730.0,6789.0,6412.0,3133.0,2075.0,681.0,377.0,460.0,-934.0,Dem,GOP,True
STH047,44420.0,22258.0,15103.0,State House,44507.0,22351.0,15005.0,7059.0,7151.0,-87.0,98.0,-93.0,-92.0,-7155.0,-7346.0,GOP,GOP,False
STH048,44636.0,18792.0,20071.0,State House,45624.0,20931.0,19059.0,5773.0,5634.0,-988.0,1012.0,-2139.0,139.0,1279.0,-1872.0,Dem,GOP,True
STH049,35955.0,14151.0,17848.0,State House,39169.0,10251.0,20894.0,3956.0,8024.0,-3214.0,-3046.0,3900.0,-4068.0,3697.0,10643.0,Dem,Dem,False
STH050,34682.0,14714.0,16645.0,State House,40635.0,18072.0,18254.0,3323.0,4309.0,-5953.0,-1609.0,-3358.0,-986.0,1931.0,182.0,Dem,Dem,False
